"Sector","Year","Statistic Label","UNIT","VALUE"
"Chemicals and chemical products (NACE 24)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","1212.38"
"Chemicals and chemical products (NACE 24)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.17"
"Chemicals and chemical products (NACE 24)","1998","Methane (CH4) Emissions","000 Tonnes","0.19"
"Chemicals and chemical products (NACE 24)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1269.96"
"Chemicals and chemical products (NACE 24)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","1264.51"
"Chemicals and chemical products (NACE 24)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.18"
"Chemicals and chemical products (NACE 24)","1999","Methane (CH4) Emissions","000 Tonnes","0.17"
"Chemicals and chemical products (NACE 24)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1323.07"
"Chemicals and chemical products (NACE 24)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","1311.65"
"Chemicals and chemical products (NACE 24)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.17"
"Chemicals and chemical products (NACE 24)","2000","Methane (CH4) Emissions","000 Tonnes","0.17"
"Chemicals and chemical products (NACE 24)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1367.65"
"Chemicals and chemical products (NACE 24)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","1394.62"
"Chemicals and chemical products (NACE 24)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.18"
"Chemicals and chemical products (NACE 24)","2001","Methane (CH4) Emissions","000 Tonnes","0.19"
"Chemicals and chemical products (NACE 24)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1452.93"
"Chemicals and chemical products (NACE 24)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","1334.06"
"Chemicals and chemical products (NACE 24)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.15"
"Chemicals and chemical products (NACE 24)","2002","Methane (CH4) Emissions","000 Tonnes","0.14"
"Chemicals and chemical products (NACE 24)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1384.25"
"Chemicals and chemical products (NACE 24)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","1200.78"
"Chemicals and chemical products (NACE 24)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.12"
"Chemicals and chemical products (NACE 24)","2003","Methane (CH4) Emissions","000 Tonnes","0.12"
"Chemicals and chemical products (NACE 24)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1240.9"
"Chemicals and chemical products (NACE 24)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","1153.32"
"Chemicals and chemical products (NACE 24)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.12"
"Chemicals and chemical products (NACE 24)","2004","Methane (CH4) Emissions","000 Tonnes","0.16"
"Chemicals and chemical products (NACE 24)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1193.74"
"Chemicals and chemical products (NACE 24)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","1262.3"
"Chemicals and chemical products (NACE 24)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.13"
"Chemicals and chemical products (NACE 24)","2005","Methane (CH4) Emissions","000 Tonnes","0.14"
"Chemicals and chemical products (NACE 24)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1305.22"
"Chemicals and chemical products (NACE 24)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","1026.84"
"Chemicals and chemical products (NACE 24)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.11"
"Chemicals and chemical products (NACE 24)","2006","Methane (CH4) Emissions","000 Tonnes","0.18"
"Chemicals and chemical products (NACE 24)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1065.14"
"Chemicals and chemical products (NACE 24)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","983.06"
"Chemicals and chemical products (NACE 24)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"Chemicals and chemical products (NACE 24)","2007","Methane (CH4) Emissions","000 Tonnes","0.12"
"Chemicals and chemical products (NACE 24)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1015.11"
"Rubber and plastic products (NACE 25)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","290.7"
"Rubber and plastic products (NACE 25)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1994","Methane (CH4) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","301.3"
"Rubber and plastic products (NACE 25)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","309.7"
"Rubber and plastic products (NACE 25)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1995","Methane (CH4) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","320.4"
"Rubber and plastic products (NACE 25)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","317.5"
"Rubber and plastic products (NACE 25)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1996","Methane (CH4) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","328.3"
"Rubber and plastic products (NACE 25)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","134.9"
"Rubber and plastic products (NACE 25)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","1997","Methane (CH4) Emissions","000 Tonnes","0"
"Rubber and plastic products (NACE 25)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","138.8"
"Rubber and plastic products (NACE 25)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","124.77"
"Rubber and plastic products (NACE 25)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"Rubber and plastic products (NACE 25)","1998","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","131.46"
"Rubber and plastic products (NACE 25)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","128.41"
"Rubber and plastic products (NACE 25)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"Rubber and plastic products (NACE 25)","1999","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","135.4"
"Rubber and plastic products (NACE 25)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","131.08"
"Rubber and plastic products (NACE 25)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"Rubber and plastic products (NACE 25)","2000","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","137.87"
"Rubber and plastic products (NACE 25)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","97.65"
"Rubber and plastic products (NACE 25)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"Rubber and plastic products (NACE 25)","2001","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","102.59"
"Rubber and plastic products (NACE 25)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","95.67"
"Rubber and plastic products (NACE 25)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2002","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","100.02"
"Rubber and plastic products (NACE 25)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","95.95"
"Rubber and plastic products (NACE 25)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2003","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","99.75"
"Rubber and plastic products (NACE 25)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","87.3"
"Rubber and plastic products (NACE 25)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2004","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","90.75"
"Rubber and plastic products (NACE 25)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","108.37"
"Rubber and plastic products (NACE 25)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2005","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","112.21"
"Rubber and plastic products (NACE 25)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","96.38"
"Rubber and plastic products (NACE 25)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2006","Methane (CH4) Emissions","000 Tonnes","0.02"
"Rubber and plastic products (NACE 25)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","100.05"
"Rubber and plastic products (NACE 25)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","90.76"
"Rubber and plastic products (NACE 25)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2007","Methane (CH4) Emissions","000 Tonnes","0.01"
"Rubber and plastic products (NACE 25)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","94.04"
"Other non-metallic mineral products (NACE 26)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","1937.2"
"Other non-metallic mineral products (NACE 26)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Other non-metallic mineral products (NACE 26)","1994","Methane (CH4) Emissions","000 Tonnes","0.4"
"Other non-metallic mineral products (NACE 26)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1959.7"
"Other non-metallic mineral products (NACE 26)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","2065.3"
"Other non-metallic mineral products (NACE 26)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Other non-metallic mineral products (NACE 26)","1995","Methane (CH4) Emissions","000 Tonnes","0.5"
"Other non-metallic mineral products (NACE 26)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","2090.5"
"Other non-metallic mineral products (NACE 26)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","2197.9"
"Other non-metallic mineral products (NACE 26)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Other non-metallic mineral products (NACE 26)","1996","Methane (CH4) Emissions","000 Tonnes","0.5"
"Other non-metallic mineral products (NACE 26)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","2222.9"
"Other non-metallic mineral products (NACE 26)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","2524.3"
"Other non-metallic mineral products (NACE 26)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.05"
"Other non-metallic mineral products (NACE 26)","1997","Methane (CH4) Emissions","000 Tonnes","0.5"
"Other non-metallic mineral products (NACE 26)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","2550.1"
"Other non-metallic mineral products (NACE 26)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","4880.81"
"Other non-metallic mineral products (NACE 26)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"Other non-metallic mineral products (NACE 26)","1998","Methane (CH4) Emissions","000 Tonnes","0.3"
"Other non-metallic mineral products (NACE 26)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","4918.57"
"Other non-metallic mineral products (NACE 26)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","4918.26"
"Other non-metallic mineral products (NACE 26)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"Other non-metallic mineral products (NACE 26)","1999","Methane (CH4) Emissions","000 Tonnes","0.25"
"Other non-metallic mineral products (NACE 26)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","4955.68"
"Other non-metallic mineral products (NACE 26)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","5624.85"
"Other non-metallic mineral products (NACE 26)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.11"
"Other non-metallic mineral products (NACE 26)","2000","Methane (CH4) Emissions","000 Tonnes","0.39"
"Other non-metallic mineral products (NACE 26)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","5668.1"
"Other non-metallic mineral products (NACE 26)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","5821.83"
"Other non-metallic mineral products (NACE 26)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"Other non-metallic mineral products (NACE 26)","2001","Methane (CH4) Emissions","000 Tonnes","0.48"
"Other non-metallic mineral products (NACE 26)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","5861.93"
"Other non-metallic mineral products (NACE 26)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","5593.08"
"Other non-metallic mineral products (NACE 26)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.12"
"Other non-metallic mineral products (NACE 26)","2002","Methane (CH4) Emissions","000 Tonnes","0.48"
"Other non-metallic mineral products (NACE 26)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","5639.54"
"Other non-metallic mineral products (NACE 26)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","4826.51"
"Other non-metallic mineral products (NACE 26)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.14"
"Other non-metallic mineral products (NACE 26)","2003","Methane (CH4) Emissions","000 Tonnes","0.53"
"Other non-metallic mineral products (NACE 26)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","4880.81"
"Other non-metallic mineral products (NACE 26)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","4991.02"
"Other non-metallic mineral products (NACE 26)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.18"
"Other non-metallic mineral products (NACE 26)","2004","Methane (CH4) Emissions","000 Tonnes","0.66"
"Other non-metallic mineral products (NACE 26)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","5059.36"
"Other non-metallic mineral products (NACE 26)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","4956.34"
"Other non-metallic mineral products (NACE 26)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.19"
"Other non-metallic mineral products (NACE 26)","2005","Methane (CH4) Emissions","000 Tonnes","0.7"
"Other non-metallic mineral products (NACE 26)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","5029.07"
"Other non-metallic mineral products (NACE 26)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","4691.41"
"Other non-metallic mineral products (NACE 26)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.18"
"Other non-metallic mineral products (NACE 26)","2006","Methane (CH4) Emissions","000 Tonnes","0.61"
